home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
France,Mexico,4.0,1.0,France,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
United States,Belgium,3.0,0.0,United States,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Serbia,Brazil,2.0,1.0,Serbia,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Romania,Peru,3.0,1.0,Romania,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Argentina,France,1.0,0.0,Argentina,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Chile,Mexico,3.0,0.0,Chile,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Serbia,Bolivia,4.0,0.0,Serbia,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
United States,Paraguay,3.0,0.0,United States,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Uruguay,Peru,1.0,0.0,Uruguay,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Chile,France,1.0,0.0,Chile,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Argentina,Mexico,6.0,3.0,Argentina,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Brazil,Bolivia,4.0,0.0,Brazil,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Paraguay,Belgium,1.0,0.0,Paraguay,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Uruguay,Romania,4.0,0.0,Uruguay,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Argentina,Chile,3.0,1.0,Argentina,1930-01-01,group_stage,Montevideo,,1930-URUGUAY
Argentina,United States,6.0,1.0,Argentina,1930-01-01,semi_final,Montevideo,,1930-URUGUAY
Uruguay,Serbia,6.0,1.0,Uruguay,1930-01-01,semi_final,Montevideo,,1930-URUGUAY
Uruguay,Argentina,4.0,2.0,Uruguay,1930-01-01,final,Montevideo,,1930-URUGUAY
Sweden,Estonia,6.0,2.0,Sweden,1933-01-01,qualification,Stockholm,,1934-ITALY
Lithuania,Sweden,0.0,2.0,Sweden,1933-01-01,qualification,Kaunas,,1934-ITALY
Serbia,Switzerland,2.0,2.0,draw,1933-01-01,qualification,Belgrade,,1934-ITALY
Poland,Czech Republic,1.0,2.0,Czech Republic,1933-01-01,qualification,Warsaw,,1934-ITALY
Switzerland,Romania,2.0,0.0,Switzerland,1933-01-01,qualification,Bern,,1934-ITALY
Haiti,Cuba,1.0,3.0,Cuba,1934-01-01,qualification,Port-au-Prince,,1934-ITALY
Haiti,Cuba,1.0,1.0,draw,1934-01-01,qualification,Port-au-Prince,,1934-ITALY
Haiti,Cuba,0.0,6.0,Cuba,1934-01-01,qualification,Port-au-Prince,,1934-ITALY
Ireland,Belgium,4.0,4.0,draw,1934-01-01,qualification,Dublin,,1934-ITALY
Mexico,Cuba,3.0,2.0,Mexico,1934-01-01,qualification,Mexico DF,,1934-ITALY
Spain,Portugal,9.0,0.0,Spain,1934-01-01,qualification,Madrid,,1934-ITALY
Luxembourg,Germany,1.0,9.0,Germany,1934-01-01,qualification,Luxembourg,,1934-ITALY
Mexico,Cuba,5.0,0.0,Mexico,1934-01-01,qualification,Mexico DF,,1934-ITALY
Egypt,Palestine,7.0,1.0,Egypt,1934-01-01,qualification,Cairo,,1934-ITALY
Portugal,Spain,1.0,2.0,Spain,1934-01-01,qualification,Lisboa,,1934-ITALY
Mexico,Cuba,4.0,1.0,Mexico,1934-01-01,qualification,Mexico DF,,1934-ITALY
Italy,Greece,4.0,0.0,Italy,1934-01-01,qualification,Milan,,1934-ITALY
Bulgaria,Hungary,1.0,4.0,Hungary,1934-01-01,qualification,Sofija,,1934-ITALY
Palestine,Egypt,1.0,4.0,Egypt,1934-01-01,qualification,Jerusalem,,1934-ITALY
Netherlands,Ireland,5.0,2.0,Netherlands,1934-01-01,qualification,Amsterdam,,1934-ITALY
Luxembourg,France,1.0,6.0,France,1934-01-01,qualification,Luxembourg,,1934-ITALY
Austria,Bulgaria,6.0,1.0,Austria,1934-01-01,qualification,Vienna,,1934-ITALY
Hungary,Bulgaria,4.0,1.0,Hungary,1934-01-01,qualification,Budapest,,1934-ITALY
Romania,Serbia,2.0,1.0,Romania,1934-01-01,qualification,Bucuresti,,1934-ITALY
Belgium,Netherlands,2.0,4.0,Netherlands,1934-01-01,qualification,Antwerpen,,1934-ITALY
United States,Mexico,4.0,2.0,United States,1934-01-01,qualification,Roma,,1934-ITALY
Italy,United States,7.0,1.0,Italy,1934-01-01,group_stage,Roma,,1934-ITALY
Austria,France,3.0,2.0,Austria,1934-01-01,group_stage,Turin,,1934-ITALY
Germany,Belgium,5.0,2.0,Germany,1934-01-01,group_stage,Florence,,1934-ITALY
Czech Republic,Romania,2.0,1.0,Czech Republic,1934-01-01,group_stage,Trieste,,1934-ITALY
Switzerland,Netherlands,3.0,2.0,Switzerland,1934-01-01,group_stage,Milan,,1934-ITALY
Sweden,Argentina,3.0,2.0,Sweden,1934-01-01,group_stage,Bologna,,1934-ITALY
Spain,Brazil,3.0,1.0,Spain,1934-01-01,group_stage,Genoa,,1934-ITALY
Hungary,Egypt,4.0,2.0,Hungary,1934-01-01,group_stage,Naples,,1934-ITALY
Austria,Hungary,2.0,1.0,Austria,1934-01-01,quarter_final,Bologna,,1934-ITALY
Czech Republic,Switzerland,3.0,2.0,Czech Republic,1934-01-01,quarter_final,Turin,,1934-ITALY
Germany,Sweden,2.0,1.0,Germany,1934-01-01,quarter_final,Milan,,1934-ITALY
Italy,Spain,1.0,1.0,draw,1934-01-01,quarter_final,Florence,,1934-ITALY
Italy,Spain,1.0,0.0,Italy,1934-01-01,quarter_final,Florence,,1934-ITALY
Italy,Austria,1.0,0.0,Italy,1934-01-01,semi_final,Milan,,1934-ITALY
Czech Republic,Germany,3.0,1.0,Czech Republic,1934-01-01,semi_final,Roma,,1934-ITALY
Germany,Austria,3.0,2.0,Germany,1934-01-01,third_place,Naples,,1934-ITALY
Italy,Czech Republic,2.0,1.0,Italy,1934-01-01,final,Roma,,1934-ITALY
Sweden,Finland,4.0,0.0,Sweden,1937-01-01,qualification,Stockholm,,1938-FRANCE
Sweden,Estonia,7.0,2.0,Sweden,1937-01-01,qualification,Stockholm,,1938-FRANCE
Finland,Germany,0.0,2.0,Germany,1937-01-01,qualification,Helsinki,,1938-FRANCE
Latvia,Lithuania,4.0,2.0,Latvia,1937-01-01,qualification,Riga,,1938-FRANCE
Finland,Estonia,0.0,1.0,Estonia,1937-01-01,qualification,Turku,,1938-FRANCE
Germany,Estonia,4.0,1.0,Germany,1937-01-01,qualification,Konigsberg,,1938-FRANCE
Lithuania,Latvia,1.0,5.0,Latvia,1937-01-01,qualification,Kaunas,,1938-FRANCE
Austria,Latvia,2.0,1.0,Austria,1937-01-01,qualification,Vienna,,1938-FRANCE
Norway,Ireland,3.0,2.0,Norway,1937-01-01,qualification,Oslo,,1938-FRANCE
Poland,Serbia,4.0,0.0,Poland,1937-01-01,qualification,Warsaw,,1938-FRANCE
