round,date,team1,team2,ground,home_result,away_result
Group A,2018-06-14,Russia,Saudi Arabia,"Luzhniki Stadium, Moscow",5,0
Group A,2018-06-15,Egypt,Uruguay,"Central Stadium, Yekaterinburg",0,1
Group A,2018-06-19,Russia,Egypt,"Krestovsky Stadium, Saint Petersburg",3,1
Group A,2018-06-20,Uruguay,Saudi Arabia,"Rostov Arena, Rostov-on-Don",1,0
Group A,2018-06-25,Uruguay,Russia,"Cosmos Arena, Samara",3,0
Group A,2018-06-25,Saudi Arabia,Egypt,"Volgograd Arena, Volgograd",2,1
Group B,2018-06-15,Portugal,Spain,"Fisht Olympic Stadium, Sochi",3,3
Group B,2018-06-15,Morocco,Iran,"Krestovsky Stadium, Saint Petersburg",0,1
Group B,2018-06-20,Portugal,Morocco,"Luzhniki Stadium, Moscow",1,0
Group B,2018-06-20,Iran,Spain,"Kazan Arena, Kazan",0,1
Group B,2018-06-25,Iran,Portugal,"Mordovia Arena, Saransk",1,1
Group B,2018-06-25,Spain,Morocco,"Kaliningrad Stadium, Kaliningrad",2,2
Group C,2018-06-16,France,Australia,"Kazan Arena, Kazan",2,1
Group C,2018-06-16,Peru,Denmark,"Mordovia Arena, Saransk",0,1
Group C,2018-06-21,France,Peru,"Central Stadium, Yekaterinburg",1,0
Group C,2018-06-21,Denmark,Australia,"Cosmos Arena, Samara",1,1
Group C,2018-06-26,Denmark,France,"Luzhniki Stadium, Moscow",0,0
Group C,2018-06-26,Australia,Peru,"Fisht Olympic Stadium, Sochi",0,2
Group D,2018-06-16,Argentina,Iceland,"Otkrytiye Arena, Moscow",1,1
Group D,2018-06-16,Croatia,Nigeria,"Kaliningrad Stadium, Kaliningrad",2,0
Group D,2018-06-21,Argentina,Croatia,"Nizhny Novgorod Stadium, Nizhny Novgorod",0,3
Group D,2018-06-22,Nigeria,Iceland,"Volgograd Arena, Volgograd",2,0
Group D,2018-06-26,Nigeria,Argentina,"Krestovsky Stadium, Saint Petersburg",1,2
Group D,2018-06-26,Iceland,Croatia,"Rostov Arena, Rostov-on-Don",1,2
Group E,2018-06-17,Brazil,Switzerland,"Rostov Arena, Rostov-on-Don",1,1
Group E,2018-06-17,Costa Rica,Serbia,"Cosmos Arena, Samara",0,1
Group E,2018-06-22,Brazil,Costa Rica,"Krestovsky Stadium, Saint Petersburg",2,0
Group E,2018-06-22,Serbia,Switzerland,"Kaliningrad Stadium, Kaliningrad",1,2
Group E,2018-06-27,Serbia,Brazil,"Otkrytiye Arena, Moscow",0,2
Group E,2018-06-27,Switzerland,Costa Rica,"Nizhny Novgorod Stadium, Nizhny Novgorod",2,2
Group F,2018-06-17,Germany,Mexico,"Luzhniki Stadium, Moscow",0,1
Group F,2018-06-18,Sweden,South Korea,"Nizhny Novgorod Stadium, Nizhny Novgorod",1,0
Group F,2018-06-23,Germany,Sweden,"Fisht Olympic Stadium, Sochi",2,1
Group F,2018-06-23,South Korea,Mexico,"Rostov Arena, Rostov-on-Don",1,2
Group F,2018-06-27,South Korea,Germany,"Kazan Arena, Kazan",2,0
Group F,2018-06-27,Mexico,Sweden,"Central Stadium, Yekaterinburg",0,3
Group G,2018-06-18,Belgium,Panama,"Fisht Olympic Stadium, Sochi",3,0
Group G,2018-06-18,Tunisia,England,"Volgograd Arena, Volgograd",1,2
Group G,2018-06-23,Belgium,Tunisia,"Otkrytiye Arena, Moscow",5,2
Group G,2018-06-24,England,Panama,"Nizhny Novgorod Stadium, Nizhny Novgorod",6,1
Group G,2018-06-28,England,Belgium,"Kaliningrad Stadium, Kaliningrad",0,1
Group G,2018-06-28,Panama,Tunisia,"Mordovia Arena, Saransk",1,2
Group H,2018-06-19,Poland,Senegal,"Otkrytiye Arena, Moscow",1,2
Group H,2018-06-19,Colombia,Japan,"Mordovia Arena, Saransk",1,2
Group H,2018-06-24,Poland,Colombia,"Kazan Arena, Kazan",0,3
Group H,2018-06-24,Japan,Senegal,"Central Stadium, Yekaterinburg",2,2
Group H,2018-06-28,Japan,Poland,"Volgograd Arena, Volgograd",0,1
Group H,2018-06-28,Senegal,Colombia,"Cosmos Arena, Samara",0,1
Round of 16,2018-06-30,Uruguay,Portugal,"Fisht Olympic Stadium, Sochi",2,1
Round of 16,2018-06-30,France,Argentina,"Kazan Arena, Kazan",4,3
Round of 16,2018-07-01,Spain,Russia,"Luzhniki Stadium, Moscow",1,1
Round of 16,2018-07-01,Croatia,Denmark,"Nizhny Novgorod Stadium, Nizhny Novgorod",1,1
Round of 16,2018-07-02,Brazil,Mexico,"Cosmos Arena, Samara",2,0
Round of 16,2018-07-02,Belgium,Japan,"Rostov Arena, Rostov-on-Don",3,2
Round of 16,2018-07-03,Sweden,Switzerland,"Krestovsky Stadium, Saint Petersburg",1,0
Round of 16,2018-07-03,Colombia,England,"Otkrytiye Arena, Moscow",1,1
Quarter-final,2018-07-06,Uruguay,France,"Nizhny Novgorod Stadium, Nizhny Novgorod",0,2
Quarter-final,2018-07-06,Brazil,Belgium,"Kazan Arena, Kazan",1,2
Quarter-final,2018-07-07,Russia,Croatia,"Fisht Olympic Stadium, Sochi",2,2
Quarter-final,2018-07-07,Sweden,England,"Cosmos Arena, Samara",0,2
Semi-final,2018-07-10,France,Belgium,"Krestovsky Stadium, Saint Petersburg",1,0
Semi-final,2018-07-11,Croatia,England,"Luzhniki Stadium, Moscow",2,1
Third place,2018-07-14,Belgium,England,"Krestovsky Stadium, Saint Petersburg",2,0
Final,2018-07-15,France,Croatia,"Luzhniki Stadium, Moscow",4,2
