round,date,time,team1,team2,group,ground,home_result,away_result
Matchday 1,2022-11-20,19:00,Qatar,Ecuador,Group A,"Al Bayt Stadium, Al Khor",0,2
Matchday 2,2022-11-21,19:00,Senegal,Netherlands,Group A,"Al Thumama Stadium, Doha",0,2
Matchday 6,2022-11-25,16:00,Qatar,Senegal,Group A,"Al Thumama Stadium, Doha",1,3
Matchday 6,2022-11-25,19:00,Netherlands,Ecuador,Group A,"Khalifa International Stadium, Al Rayyan",1,1
Matchday 10,2022-11-29,18:00,Ecuador,Senegal,Group A,"Khalifa International Stadium, Al Rayyan",1,2
Matchday 10,2022-11-29,18:00,Netherlands,Qatar,Group A,"Al Bayt Stadium, Al Khor",2,0
Matchday 2,2022-11-21,16:00,England,Iran,Group B,"Khalifa International Stadium, Al Rayyan",6,2
Matchday 2,2022-11-21,22:00,USA,Wales,Group B,"Ahmad bin Ali Stadium, Al Rayyan",1,1
Matchday 6,2022-11-25,13:00,Wales,Iran,Group B,"Ahmad bin Ali Stadium, Al Rayyan",0,2
Matchday 6,2022-11-25,22:00,England,USA,Group B,"Al Bayt Stadium, Al Khor",0,0
Matchday 10,2022-11-29,22:00,Wales,England,Group B,"Ahmad bin Ali Stadium, Al Rayyan",0,3
Matchday 10,2022-11-29,22:00,Iran,USA,Group B,"Al Thumama Stadium, Doha",0,1
Matchday 3,2022-11-22,13:00,Argentina,Saudi Arabia,Group C,"Lusail Iconic Stadium, Lusail",1,2
Matchday 3,2022-11-22,19:00,Mexico,Poland,Group C,"Stadium 974, Doha",0,0
Matchday 7,2022-11-26,16:00,Poland,Saudi Arabia,Group C,"Education City Stadium, Al Rayyan",2,0
Matchday 7,2022-11-26,22:00,Argentina,Mexico,Group C,"Lusail Iconic Stadium, Lusail",2,0
Matchday 11,2022-11-30,22:00,Poland,Argentina,Group C,"Stadium 974, Doha",0,2
Matchday 11,2022-11-30,22:00,Saudi Arabia,Mexico,Group C,"Lusail Iconic Stadium, Lusail",1,2
Matchday 3,2022-11-22,16:00,Denmark,Tunisia,Group D,"Education City Stadium, Al Rayyan",0,0
Matchday 3,2022-11-22,22:00,France,Australia,Group D,"Al Janoub Stadium, Al Wakrah",4,1
Matchday 7,2022-11-26,13:00,Tunisia,Australia,Group D,"Al Janoub Stadium, Al Wakrah",0,1
Matchday 7,2022-11-26,19:00,France,Denmark,Group D,"Stadium 974, Doha",2,1
Matchday 11,2022-11-30,18:00,Australia,Denmark,Group D,"Al Janoub Stadium, Al Wakrah",1,0
Matchday 11,2022-11-30,18:00,Tunisia,France,Group D,"Education City Stadium, Al Rayyan",1,0
Matchday 4,2022-11-23,16:00,Germany,Japan,Group E,"Khalifa International Stadium, Al Rayyan",1,2
Matchday 4,2022-11-23,19:00,Spain,Costa Rica,Group E,"Al Thumama Stadium, Doha",7,0
Matchday 8,2022-11-27,13:00,Japan,Costa Rica,Group E,"Ahmad bin Ali Stadium, Al Rayyan",0,1
Matchday 8,2022-11-27,22:00,Spain,Germany,Group E,"Al Bayt Stadium, Al Khor",1,1
Matchday 12,2022-12-01,22:00,Japan,Spain,Group E,"Khalifa International Stadium, Al Rayyan",2,1
Matchday 12,2022-12-01,22:00,Costa Rica,Germany,Group E,"Al Bayt Stadium, Al Khor",2,4
Matchday 4,2022-11-23,13:00,Morocco,Croatia,Group F,"Al Bayt Stadium, Al Khor",0,0
Matchday 4,2022-11-23,22:00,Belgium,Canada,Group F,"Ahmad bin Ali Stadium, Al Rayyan",1,0
Matchday 8,2022-11-27,16:00,Belgium,Morocco,Group F,"Al Thumama Stadium, Doha",0,2
Matchday 8,2022-11-27,19:00,Croatia,Canada,Group F,"Khalifa International Stadium, Al Rayyan",4,1
Matchday 12,2022-12-01,18:00,Croatia,Belgium,Group F,"Ahmad bin Ali Stadium, Al Rayyan",0,0
Matchday 12,2022-12-01,18:00,Canada,Morocco,Group F,"Al Thumama Stadium, Doha",1,2
Matchday 5,2022-11-24,13:00,Switzerland,Cameroon,Group G,"Al Janoub Stadium, Al Wakrah",1,0
Matchday 5,2022-11-24,22:00,Brazil,Serbia,Group G,"Lusail Iconic Stadium, Lusail",2,0
